20
20
157.02,39.88,103.92,97.28,242.44,146.01,200.76,191.29,159.56,83.36,220.92,163.56,55.55,59.05,241.32,107.88,179.6,236.6,160.8,53.47
18,10,14,23,23,24,20,17,22,10,23,17,22,21,24,20,24,15,10,20
19.0,22.68,24.79,13.12,13.28,17.25,20.85,16.21,20.5,13.82,13.04,15.99,15.8,24.52,19.2,17.47,15.07,19.05,14.41,13.7
20.98,22.49,-21.75,-20.68,11.63,-16.27,16.17,11.88,15.63,23.64,-14.26,22.55,18.05,-21.53,-13.48,-12.29,19.09,10.71,-19.14,13.27
10.99,20.0,21.72,19.54,-12.53,-10.94,20.04,13.83,10.52,19.61,-11.06,15.12,13.18,20.87,24.96,12.96,11.26,17.2,-20.43,14.38
13.17,-21.96,-11.04,14.57,-16.8,10.75,14.41,17.5,13.35,22.5,12.82,24.66,-24.26,-16.71,-22.48,16.26,-22.24,24.31,20.15,17.47
16.32,14.42,23.52,16.18,11.74,18.39,22.3,18.07,-19.34,20.03,-24.39,-17.67,24.71,17.16,23.89,24.88,19.87,-15.66,20.13,24.26
-11.32,18.0,20.13,-24.94,21.55,11.96,-24.1,-24.19,-10.71,15.22,22.11,-24.93,13.51,14.96,15.88,-22.89,-12.63,-18.42,13.42,-18.35
13.52,24.95,19.14,18.87,16.44,-12.29,13.97,19.4,-23.57,17.57,24.75,13.82,20.91,23.96,14.1,-14.16,13.13,11.93,22.26,24.39
15.46,21.33,-12.73,12.32,23.52,-21.93,-11.95,11.63,10.74,-21.76,12.27,10.53,14.3,24.05,10.55,-22.28,19.16,15.29,22.35,22.67
-22.94,19.94,14.74,-13.77,13.28,-11.85,11.22,18.01,23.1,15.12,21.35,-16.11,24.28,10.08,13.11,-17.0,21.57,24.1,14.17,22.04
23.35,10.25,10.7,10.37,20.67,16.95,15.86,20.81,12.69,-13.1,13.48,12.21,-24.69,16.94,17.19,24.84,19.45,14.32,14.56,-16.54
-12.17,17.76,-18.52,22.66,21.64,13.22,-18.56,16.3,13.36,24.9,21.77,13.54,18.29,-22.67,20.95,18.82,-12.16,20.07,11.99,14.84
13.21,-13.21,17.0,-10.04,22.22,20.87,16.69,17.27,-23.23,-20.71,-16.44,13.93,12.46,17.35,12.04,13.17,-17.25,21.0,22.28,-19.46
11.66,20.91,19.26,-15.75,23.13,13.22,-10.66,24.04,24.17,16.81,19.47,21.39,-16.49,21.8,-24.38,-17.49,-23.11,21.46,16.32,23.07
-20.24,-21.41,21.88,-17.81,16.46,24.1,10.31,-10.87,10.56,16.23,20.66,24.83,12.61,21.64,24.93,23.21,22.18,15.28,12.91,17.98
-10.48,24.36,14.08,14.8,15.32,19.88,11.78,11.67,24.34,11.49,13.19,-14.57,13.41,22.22,-15.88,-22.34,17.59,-13.23,20.54,11.02
14.79,23.97,18.42,13.92,14.81,-18.62,14.73,21.33,16.6,18.81,20.34,19.79,-13.73,10.53,21.24,15.27,21.72,24.25,11.45,21.56
22.23,16.61,13.14,-23.58,23.58,13.41,-20.24,14.12,18.35,22.11,12.69,22.98,17.7,-14.46,-15.82,24.46,13.03,14.97,-13.76,23.17
-12.18,24.93,10.21,-16.92,17.43,-16.86,19.91,17.3,15.07,12.76,12.6,16.21,23.58,13.8,14.3,13.39,18.24,16.28,16.27,18.9
23.66,11.33,10.69,-13.31,19.45,10.93,17.83,14.73,-12.77,20.97,-12.65,16.77,15.06,22.13,22.45,18.46,15.61,14.09,11.95,-14.16
-15.81,-16.56,-22.67,24.08,-17.07,17.01,-14.93,16.39,-12.77,23.5,16.02,19.11,23.73,10.22,11.62,-17.86,10.07,20.85,22.48,-16.65
18.73,24.4,13.83,12.56,15.73,14.81,22.13,19.29,17.21,-11.6,22.18,19.56,-24.01,-19.55,14.9,24.39,19.25,11.84,19.56,14.03
